<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_SOC_PART_NUMBER_AM6234,soc/arm64,bool,soc/arm64/ti_k3/am6x/Kconfig.soc:14,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_AM62X_M4,soc/arm,string,soc/arm/ti_k3/am62x_m4/Kconfig.soc:21,"""AM62x"" if SOC_PART_NUMBER_AM62x","""AM62x"" if SOC_PART_NUMBER_AM62x",—(未定义/依赖不满足),,Full part number of the SoC. Do not select directly.,
CONFIG_SOC_PART_NUMBER_AM62x,soc/arm,bool,soc/arm/ti_k3/am62x_m4/Kconfig.soc:18,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_AM6X_A53,soc/arm64,string,soc/arm64/ti_k3/am6x/Kconfig.soc:17,"""AM6234"" if SOC_PART_NUMBER_AM6234","""AM6234"" if SOC_PART_NUMBER_AM6234",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_CY8C6247BZI_D54,soc/arm,bool,soc/arm/cypress/psoc6/Kconfig.soc:12,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_PSOC62
CONFIG_SOC_PART_NUMBER_CY8C6347BZI_BLD53,soc/arm,bool,soc/arm/cypress/psoc6/Kconfig.soc:16,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_PSOC63
CONFIG_SOC_PART_NUMBER_EFM32GG11B820F2048GL192,soc/arm,bool,soc/arm/silabs_exx32/efm32gg11b/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32GG11B
CONFIG_SOC_PART_NUMBER_EFM32GG11B820F2048GM64,soc/arm,bool,soc/arm/silabs_exx32/efm32gg11b/Kconfig.soc:10,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32GG11B
CONFIG_SOC_PART_NUMBER_EFM32GG12B810F1024GM64,soc/arm,bool,soc/arm/silabs_exx32/efm32gg12b/Kconfig.soc:5,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32GG12B
CONFIG_SOC_PART_NUMBER_EFM32HG322F64,soc/arm,bool,soc/arm/silabs_exx32/efm32hg/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32HG
CONFIG_SOC_PART_NUMBER_EFM32JG12B500F1024GL125,soc/arm,bool,soc/arm/silabs_exx32/efm32jg12b/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32JG12B
CONFIG_SOC_PART_NUMBER_EFM32PG12B500F1024GL125,soc/arm,bool,soc/arm/silabs_exx32/efm32pg12b/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32PG12B
CONFIG_SOC_PART_NUMBER_EFM32PG1B200F256GM48,soc/arm,bool,soc/arm/silabs_exx32/efm32pg1b/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32PG1B
CONFIG_SOC_PART_NUMBER_EFM32WG990F256,soc/arm,bool,soc/arm/silabs_exx32/efm32wg/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFM32WG
CONFIG_SOC_PART_NUMBER_EFR32BG13P632F512GM48,soc/arm,bool,soc/arm/silabs_exx32/efr32bg13p/Kconfig.soc:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_EFR32BG22C224F512IM40,soc/arm,bool,soc/arm/silabs_exx32/efr32bg22/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32BG22
CONFIG_SOC_PART_NUMBER_EFR32BG27C140F768IM40,soc/arm,bool,soc/arm/silabs_exx32/efr32bg27/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32BG27
CONFIG_SOC_PART_NUMBER_EFR32FG13P233F512GM48,soc/arm,bool,soc/arm/silabs_exx32/efr32fg13p/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32FG13P
CONFIG_SOC_PART_NUMBER_EFR32FG1P133F256GM48,soc/arm,bool,soc/arm/silabs_exx32/efr32fg1p/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32FG1P
CONFIG_SOC_PART_NUMBER_EFR32MG12P332F1024GL125,soc/arm,bool,soc/arm/silabs_exx32/efr32mg12p/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32MG12P
CONFIG_SOC_PART_NUMBER_EFR32MG12P432F1024GL125,soc/arm,bool,soc/arm/silabs_exx32/efr32mg12p/Kconfig.soc:14,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32MG12P
CONFIG_SOC_PART_NUMBER_EFR32MG12P433F1024GM68,soc/arm,bool,soc/arm/silabs_exx32/efr32mg12p/Kconfig.soc:10,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32MG12P
CONFIG_SOC_PART_NUMBER_EFR32MG21A020F1024IM32,soc/arm,bool,soc/arm/silabs_exx32/efr32mg21/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32MG21
CONFIG_SOC_PART_NUMBER_EFR32MG24B220F1536IM48,soc/arm,bool,soc/arm/silabs_exx32/efr32mg24/Kconfig.soc:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32MG24
CONFIG_SOC_PART_NUMBER_EFR32MG24B310F1536IM48,soc/arm,bool,soc/arm/silabs_exx32/efr32mg24/Kconfig.soc:10,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_EFR32MG24
CONFIG_SOC_PART_NUMBER_F100X1024,soc/arm,bool,soc/arm/infineon_xmc/4xxx/Kconfig.soc:23,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_F144X2048,soc/arm,bool,soc/arm/infineon_xmc/4xxx/Kconfig.soc:26,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K116LAT0MFMT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:64,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K116LAT0MLFR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:67,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K116LAT0MLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:70,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K116LIT0VFMT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:73,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K116LIT0VLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:76,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K118LAT0MLFR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:79,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K118LAT0MLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:82,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K118LAT0MLHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:85,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K118LAT0MLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:88,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K118LIT0VLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:91,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142HAT0MLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:94,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142HAT0MLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:97,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142HAT0MLLR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:100,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142HAT0MLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:103,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142HVT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:106,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142UAT0VLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:109,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142UAT0VLHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:112,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142UAT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:115,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142UAT0VLLR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:118,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142UAT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:121,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142UIT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:124,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142WAT0WLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:127,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K142WAT0WLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:130,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HAT0MLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:133,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HAT0MLHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:136,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HAT0MLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:139,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HAT0MLLR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:142,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HAT0MLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:145,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HAT0MMHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:148,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HAT0MMHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:151,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HVT0VLHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:154,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HVT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:157,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HXT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:160,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144HXT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:163,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144UAT0VLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:166,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144UAT0VLHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:169,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144UAT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:172,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144UAT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:175,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144UAT0VMHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:178,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144UAT0VMHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:181,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144UIT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:184,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144ULT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:187,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144ULT0VLLR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:190,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144ULT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:193,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144WAT0WLFT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:196,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K144WAT0WLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:199,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MLHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:202,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:205,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MLLR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:208,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:211,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MLQR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:214,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MLQT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:217,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MMHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:220,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HAT0MMHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:223,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HVT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:226,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146HXT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:229,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VLHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:232,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VLHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:235,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VLLR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:238,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:241,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VLQR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:244,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VLQT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:247,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VMHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:250,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UAT0VMHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:253,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146UIT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:256,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K146ULT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:259,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148HAT0MLLR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:262,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148HAT0MLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:265,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148HAT0MLQR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:268,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148HAT0MLQT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:271,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148HAT0MLUT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:274,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148HAT0MMHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:277,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148UGT0VLQT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:280,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148UIT0VLQT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:283,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148UJT0VLLT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:286,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148UJT0VLQT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:289,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148UJT0VLUT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:292,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148UJT0VMHR,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:295,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_FS32K148UJT0VMHT,soc/arm,bool,soc/arm/nxp_s32/s32k1/Kconfig.soc:298,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_IMX7_M4,soc/arm,string,soc/arm/nxp_imx/mcimx7_m4/Kconfig.soc:30,"""MCIMX7D7DVM10SC"" if SOC_PART_NUMBER_MCIMX7D7DVM10SC | ""MCIMX7D5EVM10SC"" if SOC_PART_NUMBER_MCIMX7D5EVM10SC | ""MCIMX7S3DVK08SA"" if SOC_PART_NUMBER_MCIMX7S3DVK08SA","""MCIMX7D7DVM10SC"" if SOC_PART_NUMBER_MCIMX7D7DVM10SC | ""MCIMX7D5EVM10SC"" if SOC_PART_NUMBER_MCIMX7D5EVM10SC | ""MCIMX7S3DVK08SA"" if SOC_PART_NUMBER_MCIMX7S3DVK08SA",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_IMX8ML_M7,soc/arm,string,soc/arm/nxp_imx/mimx8ml8_m7/Kconfig.soc:28,"""MIMX8ML8DVNLZ"" if SOC_PART_NUMBER_MIMX8ML8DVNLZ","""MIMX8ML8DVNLZ"" if SOC_PART_NUMBER_MIMX8ML8DVNLZ",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_IMX8MM_M4,soc/arm,string,soc/arm/nxp_imx/mimx8mm6_m4/Kconfig.soc:25,"""MIMX8MM6DVTLZ"" if SOC_PART_NUMBER_MIMX8MM6DVTLZ","""MIMX8MM6DVTLZ"" if SOC_PART_NUMBER_MIMX8MM6DVTLZ",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_IMX8MQ_M4,soc/arm,string,soc/arm/nxp_imx/mimx8mq6_m4/Kconfig.soc:24,"""MIMX8MQ6DVAJZ"" if SOC_PART_NUMBER_MIMX8MQ6DVAJZ","""MIMX8MQ6DVAJZ"" if SOC_PART_NUMBER_MIMX8MQ6DVAJZ",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_IMX_6X_M4,soc/arm,string,soc/arm/nxp_imx/mcimx6x_m4/Kconfig.soc:64,"""MCIMX6X1EVK10AB"" if SOC_PART_NUMBER_MCIMX6X1EVK10AB | ""MCIMX6X1EVK10AC"" if SOC_PART_NUMBER_MCIMX6X1EVK10AC | ""MCIMX6X3EVK10AB"" if SOC_PART_NUMBER_MCIMX6X3EVK10AB | ""MCIMX6X3EVK10AC"" if SOC_PART_NUMBER_MCIMX6X3EVK10AC | ""MCIMX6X1EVO10AB"" if SOC_PART_NUMBER_MCIMX6X1EVO10AB | ""MCIMX6X1EVO10AC"" if SOC_PART_NUMBER_MCIMX6X1EVO10AC | ""MCIMX6X3EVO10AB"" if SOC_PART_NUMBER_MCIMX6X3EVO10AB | ""MCIMX6X3EVO10AC"" if SOC_PART_NUMBER_MCIMX6X3EVO10AC | ""MCIMX6X2EVN10AB"" if SOC_PART_NUMBER_MCIMX6X2EVN10AB | ""MCIMX6X2EVN10AC"" if SOC_PART_NUMBER_MCIMX6X2EVN10AC | ""MCIMX6X3EVN10AB"" if SOC_PART_NUMBER_MCIMX6X3EVN10AB | ""MCIMX6X3EVN10AC"" if SOC_PART_NUMBER_MCIMX6X3EVN10AC | ""MCIMX6X4EVM10AB"" if SOC_PART_NUMBER_MCIMX6X4EVM10AB | ""MCIMX6X4EVM10AC"" if SOC_PART_NUMBER_MCIMX6X4EVM10AC","""MCIMX6X1EVK10AB"" if SOC_PART_NUMBER_MCIMX6X1EVK10AB | ""MCIMX6X1EVK10AC"" if SOC_PART_NUMBER_MCIMX6X1EVK10AC | ""MCIMX6X3EVK10AB"" if SOC_PART_NUMBER_MCIMX6X3EVK10AB | ""MCIMX6X3EVK10AC"" if SOC_PART_NUMBER_MCIMX6X3EVK10AC | ""MCIMX6X1EVO10AB"" if SOC_PART_NUMBER_MCIMX6X1EVO10AB | ""MCIMX6X1EVO10AC"" if SOC_PART_NUMBER_MCIMX6X1EVO10AC | ""MCIMX6X3EVO10AB"" if SOC_PART_NUMBER_MCIMX6X3EVO10AB | ""MCIMX6X3EVO10AC"" if SOC_PART_NUMBER_MCIMX6X3EVO10AC | ""MCIMX6X2EVN10AB"" if SOC_PART_NUMBER_MCIMX6X2EVN10AB | ""MCIMX6X2EVN10AC"" if SOC_PART_NUMBER_MCIMX6X2EVN10AC | ""MCIMX6X3EVN10AB"" if SOC_PART_NUMBER_MCIMX6X3EVN10AB | ""MCIMX6X3EVN10AC"" if SOC_PART_NUMBER_MCIMX6X3EVN10AC | ""MCIMX6X4EVM10AB"" if SOC_PART_NUMBER_MCIMX6X4EVM10AB | ""MCIMX6X4EVM10AC"" if SOC_PART_NUMBER_MCIMX6X4EVM10AC",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
