<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_ADC_GD32,drivers/adc,bool,drivers/adc/Kconfig.gd32:6,y,y,—(未定义/依赖不满足),,Enable GigaDevice GD32 ADC driver,DT_HAS_GD_GD32_ADC_ENABLED
CONFIG_ADC_GECKO_ADC,drivers/adc,bool,drivers/adc/Kconfig.gecko:15,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the Silabs GeckoEFM32 ADC,DT_HAS_SILABS_GECKO_ADC_ENABLED
CONFIG_ADC_GECKO_IADC,drivers/adc,bool,drivers/adc/Kconfig.gecko:6,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the Silabs GeckoEXX32 Incremental ADC,DT_HAS_SILABS_GECKO_IADC_ENABLED
CONFIG_ADC_INFINEON_CAT1,drivers/adc,bool,drivers/adc/Kconfig.ifx_cat1:8,y,y,—(未定义/依赖不满足),,This option enables the ADC driver for Infineon CAT1 family.,DT_HAS_INFINEON_CAT1_ADC_ENABLED
CONFIG_ADC_INIT_PRIORITY,drivers/adc,int,drivers/adc/Kconfig:42 | boards/shields/lmp90100_evb/Kconfig.defconfig:11 | boards/shields/mikroe_adc_click/Kconfig.defconfig:8 | soc/arm/nxp_kinetis/Kconfig.defconfig:7,KERNEL_INIT_PRIORITY_DEVICE,80 | KERNEL_INIT_PRIORITY_DEVICE | 80 if ADC_MCUX_ADC16_ENABLE_EDMA,—(未定义/依赖不满足),,ADC driver device initialization priority.,ADC
CONFIG_ADC_IT8XXX2_VOL_FULL_SCALE,drivers/adc,bool,drivers/adc/Kconfig.it8xxx2:19,n（隐式）,—,—(未定义/依赖不满足),,This option enables ADC internal reference voltage as full-scale 3300mV.,
CONFIG_ADC_ITE_IT8XXX2,drivers/adc,bool,drivers/adc/Kconfig.it8xxx2:6,y,y,—(未定义/依赖不满足),,This option enables the ADC driver for IT8XXX2 family of processors. Voltage range 0 to 3000mV. Support 10-bit resolution. Support 8 channels: ch0~ch7.,DT_HAS_ITE_IT8XXX2_ADC_ENABLED
CONFIG_ADC_LMP90XXX,drivers/adc,bool,drivers/adc/Kconfig.lmp90xxx:6,y,y,—(未定义/依赖不满足),,"Enable LMP90xxx ADC driver. The LMP90xxx is a multi-channel, low power sensor analog frontend (AFE).",DT_HAS_TI_LMP90077_ENABLED || DT_HAS_TI_LMP90078_ENABLED || \
CONFIG_ADC_LMP90XXX_ACQUISITION_THREAD_PRIO,drivers/adc,int,drivers/adc/Kconfig.lmp90xxx:31,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,
CONFIG_ADC_LMP90XXX_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.lmp90xxx:24,400,400,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,
